date_id,item_dept,store,item_qty,net_sales,net_sales_lag_1,net_sales_lag_2,net_sales_lag_3,net_sales_lag_4,net_sales_lag_5,net_sales_lag_6,rolling_mean_3_net_sales,rolling_std_3_net_sales,rolling_mean_7_net_sales,rolling_std_7_net_sales,rolling_mean_14_net_sales,rolling_std_14_net_sales,ema_7_net_sales,ema_30_net_sales,cumulative_net_sales,mean_net_sales_by_dept,max_net_sales_by_dept,min_net_sales_by_dept,item_count_by_dept,month,day_of_week,year,week_of_year,is_weekend,mean_sales_by_store,max_sales_by_store,min_sales_by_store,total_sales_by_store,interaction_lag1_lag2,interaction_lag1_rolling3
2021-11-01,0,0,917.0,254547.79901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254547.79901,254547.79901,254547.79901,299018.1001473333,655605.872,149946.09,240,11,0,2021,44,0,392079.0041485649,2035445.463,168349.26,141148441.49348336,0.0,0.0
2021-11-01,0,1,779.0,187931.76902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187931.76902,187931.76902,187931.76902,299018.1001473333,655605.872,149946.09,240,11,0,2021,44,0,411924.23778225697,1596598.054048,149946.09,148292725.6016125,0.0,0.0
2021-11-01,1,0,2360.399,437286.62402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437286.62402,437286.62402,437286.62402,615963.7858221246,2035445.463,367440.183,240,11,0,2021,44,0,392079.0041485649,2035445.463,168349.26,141148441.49348336,0.0,0.0
2021-11-01,1,1,2987.06,491450.723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491450.723,491450.723,491450.723,615963.7858221246,2035445.463,367440.183,240,11,0,2021,44,0,411924.23778225697,1596598.054048,149946.09,148292725.6016125,0.0,0.0
2021-11-01,2,0,1043.0,247336.26601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247336.26601,247336.26601,247336.26601,291022.976926775,547559.378005,181968.999,240,11,0,2021,44,0,392079.0041485649,2035445.463,168349.26,141148441.49348336,0.0,0.0
2021-11-01,2,1,1124.0,247156.009988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247156.009988,247156.009988,247156.009988,291022.976926775,547559.378005,181968.999,240,11,0,2021,44,0,411924.23778225697,1596598.054048,149946.09,148292725.6016125,0.0,0.0
2021-11-02,2,1,1196.0,262403.349,247156.009988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250967.84474099998,248139.7092790968,509559.35898799996,291022.976926775,547559.378005,181968.999,240,11,1,2021,44,0,411924.23778225697,1596598.054048,149946.09,148292725.6016125,0.0,0.0
2021-11-02,2,0,1195.0,292020.462024,247336.26601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258507.3150135,250219.11736574193,539356.728034,291022.976926775,547559.378005,181968.999,240,11,1,2021,44,0,392079.0041485649,2035445.463,168349.26,141148441.49348336,0.0,0.0
2021-11-02,1,1,3623.716,592195.489002,491450.723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516636.91450049996,497950.3853227097,1083646.2120019998,615963.7858221246,2035445.463,367440.183,240,11,1,2021,44,0,411924.23778225697,1596598.054048,149946.09,148292725.6016125,0.0,0.0
2021-11-02,0,1,922.0,251330.13,187931.76902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203781.359265,192021.98585741938,439261.89902,299018.1001473333,655605.872,149946.09,240,11,1,2021,44,0,411924.23778225697,1596598.054048,149946.09,148292725.6016125,0.0,0.0
2021-11-02,0,0,1140.0,277904.838,254547.79901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260387.0587575,256054.70475129032,532452.63701,299018.1001473333,655605.872,149946.09,240,11,1,2021,44,0,392079.0041485649,2035445.463,168349.26,141148441.49348336,0.0,0.0
2021-11-02,1,0,3021.684,582206.592985,437286.62402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473516.61626125,446636.2994370968,1019493.217005,615963.7858221246,2035445.463,367440.183,240,11,1,2021,44,0,392079.0041485649,2035445.463,168349.26,141148441.49348336,0.0,0.0
2021-11-03,0,0,837.0,199145.59601,277904.838,254547.79901,0.0,0.0,0.0,0.0,243866.07767333332,40451.56273551731,0.0,0.0,0.0,0.0,245076.69307062498,252383.14934862644,731598.2330199999,299018.1001473333,655605.872,149946.09,240,11,2,2021,44,0,392079.0041485649,2035445.463,168349.26,141148441.49348336,70740064847.1306,67771562809.50311
2021-11-03,0,1,841.0,228560.219,251330.13,187931.76902,0.0,0.0,0.0,0.0,222607.37267333336,32115.655501317084,0.0,0.0,0.0,0.0,209976.07419875002,194379.29122145686,667822.11802,299018.1001473333,655605.872,149946.09,240,11,2,2021,44,0,411924.23778225697,1596598.054048,149946.09,148292725.6016125,47232915938.926575,55947939912.94732
2021-11-03,1,0,2155.128,397946.965024,582206.592985,437286.62402,0.0,0.0,0.0,0.0,472480.0606763333,97040.38392259197,0.0,0.0,0.0,0.0,454624.20345193753,443495.05205560673,1417440.182029,615963.7858221246,2035445.463,367440.183,240,11,2,2021,44,0,392079.0041485649,2035445.463,168349.26,141148441.49348336,254591155528.59686,275081006379.7141
2021-11-03,1,1,3288.1,574684.181,592195.489002,491450.723,0.0,0.0,0.0,0.0,552776.7976673333,53826.82465613903,0.0,0.0,0.0,0.0,531148.7311253749,502900.9527857607,1658330.393002,615963.7858221246,2035445.463,367440.183,240,11,2,2021,44,0,411924.23778225697,1596598.054048,149946.09,148292725.6016125,291034901227.3714,327351926003.56604
2021-11-03,2,0,819.0,209100.513996,292020.462024,247336.26601,0.0,0.0,0.0,0.0,249485.74734333335,41501.742707304686,0.0,0.0,0.0,0.0,246155.614759125,247566.30424511342,748457.2420300001,291022.976926775,547559.378005,181968.999,240,11,2,2021,44,0,392079.0041485649,2035445.463,168349.26,141148441.49348336,72227250675.53117,72854943207.60313
2021-11-03,2,1,1108.0,249315.458,262403.349,247156.009988,0.0,0.0,0.0,0.0,252958.27232933335,8250.630819228996,0.0,0.0,0.0,0.0,250554.74805574998,248215.56403528413,758874.8169880001,291022.976926775,547559.378005,181968.999,240,11,2,2021,44,0,411924.23778225697,1596598.054048,149946.09,148292725.6016125,64854564746.32865,66377097816.4711
2021-11-04,2,1,948.0,228511.923005,249315.458,262403.349,247156.009988,0.0,0.0,0.0,246743.57666833335,17091.46334231718,0.0,0.0,0.0,0.0,245044.04179306247,246944.36138816903,987386.739993,291022.976926775,547559.378005,181968.999,240,11,3,2021,44,0,411924.23778225697,1596598.054048,149946.09,148292725.6016125,65421211136.668846,61516987825.62365
2021-11-04,1,1,3268.081,510482.668,574684.181,592195.489002,491450.723,0.0,0.0,0.0,559120.779334,43022.213827151725,0.0,0.0,0.0,0.0,525982.2153440312,503390.0957028084,2168813.061002,615963.7858221246,2035445.463,367440.183,240,11,3,2021,44,0,411924.23778225697,1596598.054048,149946.09,148292725.6016125,340325379589.00885,321317867151.6415
2021-11-04,2,0,921.0,243260.745014,209100.513996,292020.462024,247336.26601,0.0,0.0,0.0,248127.24034466664,41673.63108542507,0.0,0.0,0.0,0.0,245431.89732284372,247288.5262302029,991717.9870440001,291022.976926775,547559.378005,181968.999,240,11,3,2021,44,0,392079.0041485649,2035445.463,168349.26,141148441.49348336,61061628706.567795,51883533492.47882
2021-11-04,0,1,914.0,237710.29,228560.219,251330.13,187931.76902,0.0,0.0,0.0,239200.213,11457.840749741083,0.0,0.0,0.0,0.0,216909.6281490625,197174.83952974997,905532.40802,299018.1001473333,655605.872,149946.09,240,11,3,2021,44,0,411924.23778225697,1596598.054048,149946.09,148292725.6016125,57444069554.09847,54671653068.12665
