date_id,item_dept,store,item_qty,net_sales
2021-11-01,0,0,917.0,254547.79901
2021-11-01,0,1,779.0,187931.76902
2021-11-01,1,0,2360.399,437286.62402
2021-11-01,1,1,2987.06,491450.723
2021-11-01,2,0,1043.0,247336.26601
2021-11-01,2,1,1124.0,247156.009988
2021-11-02,0,0,1140.0,277904.838
2021-11-02,0,1,922.0,251330.13
2021-11-02,1,0,3021.684,582206.592985
2021-11-02,1,1,3623.716,592195.489002
2021-11-02,2,0,1195.0,292020.462024
2021-11-02,2,1,1196.0,262403.349
2021-11-03,0,0,837.0,199145.59601
2021-11-03,0,1,841.0,228560.219
2021-11-03,1,0,2155.128,397946.965024
2021-11-03,1,1,3288.1,574684.181
2021-11-03,2,0,819.0,209100.513996
2021-11-03,2,1,1108.0,249315.458
2021-11-04,0,0,1256.0,255926.913
2021-11-04,0,1,914.0,237710.29
2021-11-04,1,0,2648.306,522916.128
2021-11-04,1,1,3268.081,510482.668
2021-11-04,2,0,921.0,243260.745014
2021-11-04,2,1,948.0,228511.923005
2021-11-05,0,0,991.0,255695.365
2021-11-05,0,1,910.0,217746.0
2021-11-05,1,0,2654.582,479383.66397
2021-11-05,1,1,3287.828,557072.729
2021-11-05,2,0,986.0,265589.69202
2021-11-05,2,1,963.0,222311.011
2021-11-06,0,0,884.0,241963.0
2021-11-06,0,1,1086.0,262426.08
2021-11-06,1,0,2614.006,548660.9
2021-11-06,1,1,3625.864,622856.562004
2021-11-06,2,0,1152.0,284326.0
2021-11-06,2,1,1315.0,305140.577002
2021-11-07,0,0,937.0,218668.693
2021-11-07,0,1,1043.0,289993.0
2021-11-07,1,0,2646.82,505512.74297
2021-11-07,1,1,3608.962,661655.00001
2021-11-07,2,0,998.0,233781.880016
2021-11-07,2,1,1252.0,283841.0
2021-11-08,0,0,974.0,246984.682
2021-11-08,0,1,677.0,201386.081
2021-11-08,1,0,2326.638,438841.43801
2021-11-08,1,1,2879.414,498037.791
2021-11-08,2,0,883.0,240294.89201
2021-11-08,2,1,944.0,237517.072
2021-11-09,0,0,815.0,199577.0
2021-11-09,0,1,971.0,263813.854
2021-11-09,1,0,2489.046,497413.33899
2021-11-09,1,1,3608.112,622938.069
2021-11-09,2,0,930.0,229917.0
2021-11-09,2,1,1118.0,277746.993
2021-11-10,0,0,924.0,238515.243
2021-11-10,0,1,934.0,259906.508
2021-11-10,1,0,2876.364,522461.826
2021-11-10,1,1,3666.634,635110.826
2021-11-10,2,0,1160.0,304131.278
2021-11-10,2,1,1082.0,252174.64699
2021-11-11,0,0,1017.0,265286.0
2021-11-11,0,1,1104.0,297145.0
2021-11-11,1,0,2745.732,519793.064
2021-11-11,1,1,3559.718,627332.13701
